paragraph,final_label,confidence,llama_label,llama_reasoning,qwen_label,qwen_reasoning,gpt_oss_label,gpt_oss_reasoning
"To locate a point in space, three numbers, (x,y,z), are used, which are called an ordered triple. The point (2,3, 1) is shown at right. The dotted lines help clarify which coordinate was graphed.",NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph explains the concept of ordered triples in three-dimensional space without any reference to errors, incorrect student work, comparisons, or common mistakes. It is standard instructional content.",NA,"The paragraph only defines ordered triples and describes a figure; it contains no error detection, correction, comparison, or warning about common mistakes."
"For each of the following equations, find every point where its three- dimensional graph intersects one of the coordinate axes. That is, find the x-, y- and z-intercepts. Express your answer in (x, y, z) form.",NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph is a standard problem set asking students to find intercepts of 3D graphs. There is no mention of errors, incorrect work, or comparisons between methods.",NA,"The paragraph simply asks students to find intercepts; it does not involve error detection, correction, comparison, or warnings."
Answer each of the following questions. Illustrate your answers with a sketch. What do you think the intersection of two planes looks like? What do you think it means for two planes to be parallel? What do you think it means for a line and a plane to be parallel?,NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph asks students to answer conceptual questions about planes and parallelism with sketches, but does not present any incorrect work, errors to detect, or comparisons between methods. It is standard exploratory content without error-focused pedagogy.",NA,"The paragraph asks conceptual questions and requests sketches, without presenting any error, mistake, or student work to analyze."
Solve each equation below for x. a. 2x+x=b b. 2ax+3ax=b C. xtax=b,NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph presents standard algebraic equations to solve for x without any mention of errors, conflicting methods, or common mistakes. It is a typical problem set without error-focused pedagogy.",NA,"The paragraph simply asks students to solve equations; it contains no error detection, correction, comparison, or warning about common mistakes."
"b. Be sure to test negative numbers. What happens for negative numbers? c. Mark wants to get his machines patented but has to prove that the set of machines will always do what he says it will, at least for positive numbers. Show Mark how to prove that his machines work for positive numbers by dropping in a variable (for example, n) and writing out each step the machines must take. Why do the negative numbers come out positive?",PARSE_ERROR,ERROR,ERROR,max retries exceeded,ERROR,400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions,ERROR,400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions
Sketch the graph of y=logs(x—2) and describe how the graph is transformed from the parent graph.,NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph is a standard problem asking students to sketch a graph and describe transformations. It does not involve error detection, correction, comparison of student work, or warnings about common mistakes.",NA,"The paragraph asks students to sketch a graph and describe transformations, with no error-focused prompts or warnings."
The table at right shows the total population of Year | Population Mexico for the given years. Gules) 1900 13.6 a. What was the average rate of change for the 1910 15.2 population from 1900 to 1950? 1920 14.4 1930 16.6 b. What was the average rate of change from 1960 1940 19.8 to 2010? 1950 26.3 1960 35.0 > c. When was the population growth rate higher?,NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph presents a standard problem set asking for average rate of change calculations and comparisons. There is no error-focused pedagogy such as incorrect student work, conflicting methods, explicit error detection, or common error warnings.",NA,The paragraph presents data and asks standard calculation questions without showing or warning about errors.
"You know a lot about systems of two-variable equations, their solutions, and their graphs. Today you will investigate systems of three-variable equations.",NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph introduces the topic of systems of three-variable equations without any reference to errors, incorrect work, or common mistakes. It serves as a standard transition to new content.",NA,"The paragraph is an introductory statement about upcoming content and contains no request to find, correct, or warn about errors."
"Your Task: With your team, find out as much as you can about each of these systems of equations, their graphs, and their solutions. Be sure to record all of your work carefully and be prepared to share your summary statements with the",NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph is a standard task instruction for students to explore systems of equations and their solutions with their team. It does not involve error detection, correction, comparison of conflicting methods, or warnings about common mistakes.",NA,"The paragraph is a general instruction for a collaborative activity, with no mention of errors, error detection, or comparison of student work."
"Using isometric dot paper, graph both equations in System I from problem 6-30 on a single three-dimensional coordinate system. Use different colors to help identify each graph. Describe the graph of the system in as much detail as you can. Looking at the graph, can you tell what the solution to this system is?",NA,CONFIRMED,NA,"This paragraph asks students to graph equations and describe the resulting system, but does not involve identifying or correcting errors, comparing different approaches, or warning about common mistakes.",NA,"The paragraph instructs students to graph equations and analyze the system, but does not involve error detection, correction, or comparison of incorrect work. It is a standard problem set without error-focused pedagogy.",NA,"The paragraph asks students to graph equations and describe the solution, without referencing any errors, mistakes, or student work."
"Using isometric dot paper, graph both equations in System IT from problem 6-30 on a single three-dimensional coordinate system. Use different colors to help identify each graph. Describe the graph of the system in as much detail as you can. Looking at the graph, can you tell what the solution to this system is?",NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph instructs students to graph equations and analyze the system, but does not involve error detection, correction, or comparison of methods. It is standard problem-solving without error-focused pedagogy.",NA,"The paragraph asks students to graph equations and describe the result, without referencing any errors, mistakes, or conflicting student work."
Now compare the graphs of the two systems. How are they similar? How are they different?,NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph asks students to compare two graphs and note similarities and differences, but does not involve named students with conflicting answers, error detection, or common mistake warnings. It is a standard comparison question without error-focused pedagogy.",NA,"The paragraph asks students to compare two graphs, with no mention of errors, mistakes, or named students' work, so it does not involve error-focused pedagogy."
"Look closely at your graph of System II. Can you see the intersection of the two planes clearly? If not, make a new set of axes and graph the systems carefully. a. What does the intersection of two planes look like? b. Work with your team to find the coordinates of as many points as you can that lie in both planes. Show your work and describe your strategies. Be prepared to share your ideas with the class. Can you add a third equation to the system that will share the same intersection with the original two graphs?",NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph provides instructions for graphing systems of equations and analyzing their intersections. It asks students to find coordinates of points and add a third equation, which are standard problem-solving tasks. There is no mention of errors, incorrect work, or comparisons between students/methods.",NA,"The paragraph asks students to explore and describe the intersection of planes and collaborate, without presenting a specific error, mistake warning, or correction task."
"On isometric dot paper, graph the system of equations at 10x + 6y+5z=30 right. What shape is the intersection? Use color to show 6x+15y+5z= 30 the intersection clearly on your graph.",NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph is a standard problem set asking students to graph equations and determine their intersection. There is no mention of errors, incorrect work, comparisons between methods, or common mistakes. It does not involve error-focused pedagogy.",NA,"The paragraph asks students to graph equations and identify the shape of their intersection, with no mention of errors, mistakes, or student work."
c. 3x(x+1)(2x—7)(3x+ 4)2(x-13)(x+7)=0 d. Describe how to solve an equation made up of any number of factors all multiplied to equal zero.,NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph presents a problem (c) and a follow-up question (d) about solving equations with multiple factors. There is no mention of a student's incorrect work, conflicting answers, explicit error detection, or common errors. It is standard problem-solving content.",NA,"The paragraph presents a standard algebraic problem and asks for a method, without referencing errors, mistakes, or student work."
"Determine if each of the following functions is odd, even, or neither.",NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph is a standard problem set asking students to classify functions as odd, even, or neither. There is no mention of errors, conflicting student approaches, or warnings about common mistakes.",NA,"The prompt asks students to classify functions as odd, even, or neither, with no reference to errors, mistakes, or student work."
"Solve the following three-variable system of equations by graphing it with your graphing tool or on isometric dot paper. Give your solution in (x,y,z) form. Then test your solution in the equations and describe your results.",NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph is a standard problem set instructing students to solve a system of equations and test their solution. It does not involve error-focused pedagogy such as identifying mistakes in student work, comparing conflicting approaches, or warning about common errors.",NA,"The paragraph asks students to solve a system and test the solution, without presenting or asking to find any error."
"Today you will extend what you know about systems of equations to examine how to solve systems of equations with three variables. As you work with your team, look for connections to previous work. The focus questions below can help generate mathematical discussion.",NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph introduces a new topic (systems of equations with three variables) and encourages collaborative learning without mentioning any errors, incorrect work, or common mistakes. It serves as an instructional guide rather than focusing on error pedagogy.",NA,"The paragraph only introduces a new topic and encourages discussion; it contains no error-focused prompts, named student work, or warnings about common mistakes."
"As you saw in problem 6-45, using a graph to solve a system of three equations with three variables can lead to inconclusive results. What other strategies should be considered? Discuss this with your team and be prepared to share your ideas with the class.",NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph encourages students to discuss alternative strategies for solving systems of equations but does not present any specific errors, incorrect work, or common mistakes to address. It is a standard open-ended discussion prompt without error-focused pedagogy.",NA,"The paragraph asks students to discuss alternative strategies, without presenting an error, mistake warning, or named students' work."
"Looking at the equations in problem 6-45, Elissa wanted to see if she could apply some of her solving techniques from two-variable equations to this three-variable system. a. Elissa noticed that the first two equations could be combined to form the new equation 8x+7z=18. How did she accomplish this? Now that Elissa has an equation with only x and z, she needs to find another equation with only x and z to be able to solve the system.",NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph describes Elissa's method for solving a three-variable system by combining equations, but does not present any errors to detect, compare conflicting approaches, or warn about common mistakes. It is standard problem-solving content.",NA,"The paragraph asks the reader to explain a step and continue solving, without presenting a mistake, error detection, or comparison of student work."
"that the new equation only has x and z. Then solve the system to find x and z. c. For which variable do you still need to solve? Work with your team to solve for this variable. Then write the solution as a point in (x, y,z) form. Is your solution reasonable? Does it agree with your graph?",NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph provides standard problem-solving instructions for solving a system of equations. It asks students to solve for variables and verify their solution against a graph, but does not involve error detection, correction, or comparison of conflicting approaches. There is no mention of student errors or common mistakes.",NA,"The paragraph asks students to solve a system and check reasonableness, without referencing any error, mistake, or correction."
"Practice using your algebraic strategies by solving the systems below, if possible. If there is no solution or if the solution is different than you expected, use the graphing tool to help you figure out why.",NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph instructs students to practice solving systems and use a graphing tool if they encounter unexpected results. It does not present specific errors, compare methods, or warn about common mistakes. The focus is on general problem-solving practice.",NA,"The paragraph gives a standard practice instruction and suggests using a tool if results differ, without presenting a specific error, student work, or warning about common mistakes."
Today you developed a way to solve a system of three equations with three variables. But what do the solutions of a system like those provided in problem 6-48 represent? Consider this as you answer the questions below with your graphing tool. a. One of the systems in problem 6-48 had no solution. Graph this system with your graphing tool. Describe how the planes are positioned and why there is no common point on all three planes. In what other ways could three planes be positioned so that there is no solution? Use paper or cardboard to help you communicate your ideas with others. c. Graph the system in part (d) of problem 6-48 with your graphing tool and examine the result. How can you describe the intersection of these planes?,NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph discusses graphing systems of equations and analyzing the geometric relationships between planes. It does not present any incorrect work, compare conflicting methods, highlight common errors, or ask students to detect errors. The focus is on exploration and understanding through graphing tools, which is standard instructional content.",NA,"The paragraph asks students to explore and describe geometric situations of systems, not to find or correct errors, compare student work, or warn about common mistakes."
"In your Learning Log, describe your algebraic strategy to solve a system of three equations with three variables. Provide enough detail to allow you to repeat the process when you refer to it later. Title this entry “Systems of Three Equations with Three Variables” and include today’s date.",NA,MAJORITY,NA,"This paragraph asks the student to describe their strategy for solving a system of equations, without mentioning errors or comparing methods, and is focused on the student reflecting on their own approach.",ERROR,400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions,NA,"The paragraph asks students to write a reflective description of their strategy, with no mention of errors, mistakes, or comparing student work."
"“trace lines” (the intersections of the plane with the xy-, xz-, and yz-planes) that will represent the plane. To find the intercepts, let two of the variables equal zero. Then solve to find the intercept corresponding to the remaining variable. MATH NoTEs ¢ For example, for 2x+ 3y+4z=12, the x-intercept is found by letting y and z equal zero, which gives 2x =12. Therefore the x-intercept is (6,0,0). Similarly, the y-intercept is (0, 4, 0), and the z-intercept is (0, 0, 3). Drawing the line between two intercepts gives one of the trace line in that coordinate plane. For example, connecting the x- and y-intercepts, you would get the equation 2x + 3y =12 , which is the trace line in the xy-plane when z=0 in the equation 2x+3y+4z=12. Connecting the x- and z-intercepts gives the trace line in the xz-plane, etc.",NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph explains how to find intercepts and trace lines for a plane equation using a correct example. There is no mention of errors, student mistakes, or conflicting approaches. It provides standard instructional content without error-focused pedagogy.",NA,"The paragraph explains how to find intercepts and trace lines for a plane without presenting any errors, warnings, or student work."
"If two quantities are equal, are their logarithms also equal? Consider the questions below. a. Is it true that 4? is equal to 2+? Is this a special case, or is a’ equal to b?",NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph poses a conceptual question about logarithms and equality without presenting any specific errors, student work, or comparisons. It encourages exploration rather than error detection or correction.",NA,"The paragraph asks a conceptual question about logarithms without presenting a student's error, warning, or comparison."
Use the ideas from problem 6-54 to help you solve the following equations. a. log10=log(2x- 3) b. log 25 =log(4x?,NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph instructs students to solve logarithmic equations using prior problem ideas. There is no mention of errors, incorrect work, comparisons between methods, or common mistakes. It is a standard problem set without error-focused pedagogy.",NA,"The paragraph only asks students to solve equations using prior ideas, with no mention of errors, mistakes, or comparison of student work."
"Find an equation for each of the lines described below. The line with slope - that goes through the point (0, 5). The line parallel to y=2x—5 that goes through the point (1, 7). The line perpendicular to y=2x-—5 that goes through the point (1, 7). The line that goes through the point (0, 0) so that the tangent of the angle it makes with the x-axis is 2.",NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph presents standard problem sets asking students to find equations of lines based on given conditions. There is no mention of errors, incorrect work, comparisons between methods, or warnings about common mistakes.",NA,"The paragraph asks for equations of lines; it contains no error identification, correction, comparison of student work, or warnings about common mistakes."
Solve each equation below for y so that it can be entered into the graphing calculator.,NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph is a standard problem set instruction asking students to solve equations for graphing calculator input. It does not involve error detection, correction, comparison of methods, or warnings about common mistakes.",NA,"The paragraph is a straightforward instruction to solve equations for y for calculator entry, with no mention of errors, mistakes, or student work."
Sketch the graph of each equation or inequality below. =9 b. (x-2)* + (y+ 3)?,NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph is a standard problem set asking students to sketch graphs of equations/inequalities. There is no mention of errors, student work to evaluate, or common mistakes to avoid. The content is neutral and does not involve error-focused pedagogy.",NA,"The paragraph only asks students to sketch graphs; it contains no error detection, correction, comparison, or warning about common mistakes."
"You are standing 60 feet away from a five-story building in Los Angeles, looking up at its rooftop. In the distance you can see the billboard on top of your hotel, but the building is completely obscured by the one in front of you. If your hotel is 32 stories tall and the average story is 10 feet high, how far away from your hotel are you?",NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph presents a standard problem-solving scenario without any mention of errors, incorrect student work, conflicting methods, or common mistakes. It is a typical applied math problem asking for distance calculation based on building heights.",NA,"The paragraph presents a word problem asking for a distance calculation, with no mention of errors, mistakes, or comparing student work."
that passes through three specific points. You will be challenged to extend what you know about writing and solving a system of equations in two variables to solving a system of equations in three variables.,NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph discusses extending knowledge of solving systems of equations from two to three variables but does not mention any errors, conflicting student approaches, or warnings about common mistakes. It is standard instructional content.",NA,"The paragraph only describes a learning task and extends a concept; it contains no error-focused prompts, warnings, or student work."
"In your work with parabolas, you have developed two forms for the general equation of a quadratic function: y= +k. What information does each equation give you about the graph of a parabola? Be as detailed in your explanation as possible. When is each form most useful?",NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph asks students to explain the information provided by different quadratic equation forms and their usefulness, which is standard content without error-focused pedagogy elements.",NA,"The paragraph asks for explanation of two forms and their usefulness, without presenting errors, student work, or comparisons of mistakes."
"Suppose the graph of a quadratic function passes through the points (1, 0), (2,5), and (3, 12). Then work with your team to develop an algebraic method to find the equation y = ax? + bx +c of this specific quadratic function.",NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph presents a standard problem where students are asked to find the equation of a quadratic function passing through specific points. There is no mention of errors, incorrect work, or comparisons between different methods/answers. It is a typical problem-solving task without error-focused pedagogy.",NA,"The paragraph asks students to develop a method to find the quadratic equation; it does not present or ask about errors, mistakes, or compare student work."
How many points does it take to determine the equation of a linear function y=ax+b? Discuss this with your team and include at least one sketch to support your answer.,NA,CONFIRMED,NA,"This paragraph asks students to discuss and determine the number of points needed to find the equation of a linear function, without mentioning any errors or incorrect work.",NA,"The paragraph is a standard question asking for understanding of determining a linear function's equation, without any error-focused elements like incorrect work, comparisons, or common mistake warnings.",NA,"The paragraph asks a conceptual question and a collaborative discussion, without referencing errors, mistakes, or correcting work."
+bx+c of the quadratic function whose graph passes through three given points. Title this entry “Finding the Equation of a Parabola Given Three Points” and label it with today’s date.,NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph is a standard instruction for students to create a titled entry in their notebook about finding a quadratic equation given three points. It does not involve error detection, correction, comparison of methods, or warnings about common mistakes.",NA,"The paragraph is an instruction to create a titled entry about finding a quadratic equation, with no mention of errors, mistakes, or student work."
"Find the equation y= ax? +bx+c of the function that passes through the three points given in parts (a) and (b) below. Be sure to check your answers. a. (3,10), (5, 36), and (—2, 15) b. (2,2), (4,5), and (6, 0)",NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph is a standard problem set asking students to find quadratic equations through given points. The instruction to 'check your answers' is general and does not involve analyzing errors in shown work, contrasting methods, or warning about common mistakes.",NA,"The paragraph asks students to find a quadratic equation through given points and to check their answers, without referencing any errors, student work, or warnings about common mistakes."
"CPM engineers are considering developing a private space rocket. In a computer simulation, the rocket is approaching a star and is caught in its gravitational pull. When the rocket’s engines are fired, the rocket will slow down, stop momentarily, and then pick up speed and move away from the star, avoiding its gravitational field. CPM engaged the rocket engines when it was 750 thousand miles from the star. After one full minute, the rocket was 635 thousand miles from the star. After two minutes, the ship was 530 thousand miles from the star. a. Name the three points given in the information above if x = the time since the engines were engaged and y = the distance (in thousands of miles) from the star. Based on the points in part (a), make a rough sketch of a graph that shows the distance reaching a minimum and then increasing again, over time. What kind of function could follow this pattern? Find the equation of a graph that fits the three points you found in part (a). Ifthe ship comes within 50 thousand miles of the star, the shields will fail and the ship will burn up. Use your equation to determine whether the space ship has failed to escape the gravity of the star.",NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph presents a standard problem scenario with data points and questions about modeling the rocket's distance over time. There is no mention of student errors, conflicting methods, or explicit error detection. The tasks involve analyzing the given data and solving the problem, which falls under standard textbook content.",NA,"The paragraph presents a standard problem scenario and asks students to create points, sketch, find an equation, and apply it; it does not involve identifying or correcting errors, comparing student work, or warning about common mistakes."
Sickly Sid has contracted a serious infection and has gone to the doctor for help.,NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph introduces a scenario about a patient named Sickly Sid but does not involve any error-focused pedagogy elements such as student mistakes, conflicting approaches, or warnings about common errors. It serves as a contextual setup rather than addressing errors.",NA,"The paragraph is a narrative about a character's health situation and contains no math problem, error detection, or comparison of solutions."
"After ten days, the infection has grown to 1600 bacteria per cc. After 15 days it has grown",NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph presents factual information about bacterial growth over time without any indication of errors, conflicting methods, or common mistakes. It does not engage in error-focused pedagogy.",NA,"The paragraph simply describes a scenario about bacterial growth and contains no student work, error identification, comparison, or warning about common mistakes."
"Sensible Sally has a job that is 35 miles from her home and needs to be at work by 8:15 a.m. She wants to get as much sleep as she can, leave as late",NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph sets up a scenario about Sally's commute but does not present any error to detect, compare conflicting methods, or warn about common mistakes. It is a standard problem setup without error-focused pedagogy elements.",NA,"The paragraph presents a scenario about Sally's commute without asking to find or correct an error, compare approaches, detect a mistake, or warn about common errors."
"as possible, and still get to work on time. Sally discovered that if she leaves at 7:10, it takes her 40 minutes to get to work. If she leaves at 7:30, it takes her 60 minutes to get work. If she leaves at 7:40, it takes her 50 minutes to get to work. Since her commute time increases and then decreases, Sally decided to use a parabola to model her commute, assuming the time it takes her to get to work varies quadratically with the number of minutes after 7:00 that she leaves her house. a. Ifx =the number of minutes after 7:00 that Sally leaves, and y = the number of minutes it takes Sally to get to work, what three ordered pairs can you determine from the problem? Use the three points from part (a) to find the equation of a parabola in standard form that can be used to model Sally’s commute. c. Will Sally make it to work on time if she leaves at 7:20?",NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph presents a standard problem where students model Sally's commute with a parabola. It asks for ordered pairs, an equation, and a prediction, but does not involve error detection, correction, or comparison of incorrect methods. No named student's work is shown as wrong, nor are there warnings about common errors.",NA,"The paragraph presents a modeling problem and asks for points, equation, and prediction, without showing or asking to find errors."
"Your challenge will be to work with a partner to create a parabola puzzle for another pair of students to solve. Follow the directions below to create a puzzle that will make them think and allow them to show off their algebra skills. When you are ready, you will trade puzzles with another pair and attempt to solve theirs. a. With your partner, decide on an equation for a parabola and then identify three points that lie on its graph. Keep track of how you came up with your equation and how you chose your points.",NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph describes an activity where students create a parabola puzzle for peers to solve. It does not involve identifying errors in student work, comparing conflicting methods, or highlighting common mistakes. The focus is on collaborative problem creation, not error pedagogy.",NA,The paragraph describes a collaborative puzzle-creation activity and does not involve identifying or correcting errors.
"Write the coordinates of the three points on an index card or small slip of paper to give to another pair of students. Be sure you keep a copy of your equation so you can check their work later. c. Trade points with another pair and work with your partner to solve their puzzle. When you are confident of your equation, check your work with the pair that wrote it.",NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph describes a collaborative activity where students create and solve each other's problems, but it does not involve identifying or correcting errors in presented work. There is no mention of incorrect solutions, common mistakes, or explicit error detection tasks.",NA,"The paragraph describes a collaborative activity of exchanging points and checking each other's equations, without presenting a specific error, warning, or correction task."
"that passes through a given set of points when graphed, y= ax*+bx* +cx+d. How many points do you think you would need to be given to be able to determine a unique equation? How could you extend the method you developed for solving a quadratic to solving a cubic?",NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph asks about determining the number of points needed for a cubic equation and extending quadratic methods to cubics. It does not present any errors, incorrect student work, or comparisons between conflicting approaches. The content is exploratory and conceptual, not error-focused.",NA,"The paragraph asks conceptual questions about determining a cubic equation and extending a method, without referencing errors, mistakes, or student work."
Solve the system of equations at right and then check your x—2y + 3z=8 solution in each equation. Be sure to keep your work well 2x+y+z=6 organized.,NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph instructs students to solve a system of equations and check their solutions, which is standard practice. There is no mention of errors, incorrect student work, or common mistakes to avoid.",NA,"The paragraph only asks students to solve a system and check the solution; it contains no error-focused prompt, no student work, and no warning about common mistakes."
"Find the equation in y= ax? +bx+c form of the parabola that passes through the points (1, 5), (3, 19), and (—2, 29).",NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph presents a standard problem-solving task without any reference to errors, student work, or comparisons. It asks the reader to find the equation of a parabola given three points, which is typical textbook content.",NA,"The paragraph asks for a standard problem solution (finding a parabola equation) with no mention of errors, student work, or warnings."
This problem is a checkpoint for multiplying and dividing rational expressions. gy \t will be referred to as Checkpoint 6A.,NA,CONFIRMED,NA,This paragraph introduces a checkpoint for a specific math topic and does not involve error pedagogy.,NA,"The paragraph introduces a checkpoint problem for multiplying and dividing rational expressions but does not involve error-focused pedagogy. It is standard textbook content without references to errors, contrasting methods, or common mistakes.",NA,The paragraph only describes a checkpoint problem and gives a label; it contains no error-focused instruction or warning.
Check your answers by referring to the Checkpoint 6A materials located at the back of your book.,NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph provides general study guidance by directing students to check their answers using specific materials. It does not involve error detection, correction, comparison of methods, or warnings about common mistakes.",NA,"The sentence only directs students to verify answers using checkpoint materials; it does not involve error detection, correction, or warnings."
"If you needed help solving these problems correctly, then you need more practice. Review the Checkpoint 6A materials and try the practice problems. Also, consider getting help outside of class time. From this point on, you will be expected to do problems like these quickly and easily.",NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph provides general advice for students who struggled with problems, directing them to review materials and seek additional help. It does not involve error-focused pedagogy such as identifying mistakes, comparing approaches, or warning about common errors.",NA,"The paragraph gives study advice and expectations, without presenting errors, student work, or comparisons; it does not involve error-focused pedagogy."
Simplify each expression in parts (a) through (c) below. Then complete part (d).,NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph is a standard instruction to simplify expressions and complete a task, with no mention of errors, comparisons, or common mistakes. It does not involve error-focused pedagogy.",NA,"The paragraph only gives a standard instruction to simplify expressions, with no mention of errors, student work, or comparisons."
"Change each of the following equations from logarithmic form to exponential form, or vice versa.",NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph is a standard problem set asking students to convert equations between logarithmic and exponential forms. There is no mention of errors, incorrect work, or comparisons between methods.",NA,"The paragraph simply gives a standard instruction to convert equations, with no mention of errors, mistakes, or student work."
"The half-life of an isotope is 1000 years. A 50-gram sample of the isotope is sealed in a box. a. How muchis left after 10,000 years? How long will it take to reduce to 1% of the original amount? How long will it take until all of the original sample of the isotope is gone?",NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph presents a standard problem set about half-life calculations without any mention of errors, student work to evaluate, or common mistakes to avoid. It is a typical math problem asking for quantitative answers.",NA,"The paragraph presents a standard decay problem without any mention of errors, student work, or warnings about common mistakes."
a. Now shift the function down 3 and to the left 2 and draw the new graph on,NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph is a standard instruction to perform a function transformation and draw the graph. It does not involve error detection, correction, comparison of methods, or warnings about common mistakes.",NA,"The paragraph gives a transformation instruction without any error focus, named student work, or warning about common mistakes."
Rewrite each expression below as an exponential expression with a base of 2.,NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph is a standard problem set asking students to rewrite expressions with a base of 2. There is no mention of errors, incorrect work, comparisons between methods, or common mistakes. It does not involve error-focused pedagogy.",NA,"The prompt simply asks students to rewrite expressions with a base of 2, with no mention of errors, mistakes, or comparisons."
Solve the system of equations at right and then check your x+2y-z=-1 solution in each equation. Be sure to keep your work well 2x- y+ 3z=13 organized.,NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph instructs students to solve a system of equations and check their own solutions. There is no mention of a named student's incorrect work, no comparison of different methods, no explicit error detection task, and no common error alert. It is standard problem-solving with a verification step.",NA,"The paragraph only instructs students to solve a system and check the solution, without showing errors, warnings, or comparisons; thus it is standard content."
"Find an equation for the parabola that passes through the points (1,10) , (0,5), and (2,7).",NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph presents a standard problem asking to find the equation of a parabola through three points. It does not involve error correction, comparison of methods, explicit error detection, or warnings about common mistakes.",NA,"The paragraph asks for a standard problem solution without mentioning errors, mistakes, or comparing student work."
"Change each of the following equations from logarithmic form to exponential form, or vice versa.",NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph is a standard instruction asking students to convert equations between logarithmic and exponential forms. It does not involve error detection, correction, comparison of methods, or warnings about common mistakes.",NA,"The paragraph simply gives a standard instruction to convert equations, with no mention of errors, student work, or warnings."
Add or subtract and simplify each of the following expressions. Justify that each step of your process makes sense. Sean a b. x“4+2x4+1 9 x*4+2x+4+1,NA,MAJORITY,ERROR,max retries exceeded,NA,"The paragraph presents a standard problem set asking students to simplify expressions and justify their steps. There is no mention of errors, incorrect student work, comparisons between methods, or common mistakes. It is standard instructional content.",NA,"The paragraph only asks students to add/subtract and justify steps, with no error demonstration, warning, or named student conflict."
"On their Team Test, Raymond, Sarah, Hannah, and Aidan were given y=4x* —24x+7 to change into graphing form. Raymond noticed that the leading coefficient was a 4 and not a 1. His team agreed on a way to start rewriting, but then they worked in pairs and got two different solutions, shown below.",COMPARE_AND_CONTRAST,MAJORITY,ERROR,max retries exceeded,COMPARE_AND_CONTRAST,"The paragraph describes two different solutions from pairs of students (Raymond/Sarah and Hannah/Aidan) working on the same problem. The reader is implied to evaluate which solution is correct, fitting the 'Compare and Contrast' category as it involves conflicting approaches from named students.",COMPARE_AND_CONTRAST,"The paragraph mentions named students who produced differing solutions, prompting the reader to compare and decide which is correct."
